,restaurant,url,distance,star,num_reviews,city,price_range,cuisine,cuisine_label
2784,Bubble Tea King,https://www.doordash.com/store/22979660/?pickup=false,0.5,3.8,1,Vancouver,$$,,
2785,J & P Kitchen ä½,https://www.doordash.com/store/2514410/?pickup=false,1.3,4.7,14,Vancouver,$$,East Asian,Asian
2786,Sticky Wings,https://www.doordash.com/store/23057636/?pickup=false,0.5,4.5,17,Vancouver,$,North American,American
2787,Rebel Wings,https://www.doordash.com/store/23057613/?pickup=false,0.5,3.8,1,Vancouver,$,North American,American
2788,Pho Xe Lua 24,https://www.doordash.com/store/22966765/?pickup=false,1.7,4.7,47,Vancouver,$$,,
2789,Wings & Things,https://www.doordash.com/store/23057635/?pickup=false,0.5,3.9,14,Vancouver,$,North American,American
2790,Vecceria,https://www.doordash.com/store/2645255/?pickup=false,0.7,4.8,33,Vancouver,$$,,
2791,Freshslice Pizza,https://www.doordash.com/store/154850/?pickup=false,0.3,3.8,67,Vancouver,$,European,Italian
2792,Straight Outta Brooklyn Granville Island,https://www.doordash.com/store/23057356/?pickup=false,1.3,4.6,21,Vancouver,$$,European,Italian
2793,Riddim & Spice,https://www.doordash.com/store/58729/?pickup=false,2.2,4.5,297,Vancouver,$$,North American,Jamaican
2794,VIA PASTA,https://www.doordash.com/store/23186153/?pickup=false,0.7,5,1,Vancouver,$,European,Italian
2795,AFC by Cold Tea (Asian Fried Chicken),https://www.doordash.com/store/1384516/?pickup=false,0.5,4.7,166,Vancouver,$$,,
2796,Chachi's Sandwiches,https://www.doordash.com/store/1027557/?pickup=false,0.2,4.5,248,Vancouver,$$,,
